,COCR
2021-01-01 00:00:00,246.44
2021-01-01 01:00:00,62.611
2021-01-01 02:00:00,37.716
2021-01-01 03:00:00,40.001
2021-01-01 04:00:00,91.447
2021-01-01 05:00:00,174.235
2021-01-01 06:00:00,187.767
2021-01-01 07:00:00,293.277
2021-01-01 08:00:00,510.724
2021-01-01 09:00:00,821.937
2021-01-01 10:00:00,1284.361
2021-01-01 11:00:00,1798.744
2021-01-01 12:00:00,2214.509
2021-01-01 13:00:00,2430.451
2021-01-01 14:00:00,2317.638
2021-01-01 15:00:00,2148.294
2021-01-01 16:00:00,1827.664
2021-01-01 17:00:00,1251.543
2021-01-01 18:00:00,697.864
2021-01-01 19:00:00,620.701
2021-01-01 20:00:00,939.806
2021-01-01 21:00:00,1667.597
2021-01-01 22:00:00,2040.351
2021-01-01 23:00:00,998.512
2021-01-02 00:00:00,387.043
2021-01-02 01:00:00,162.752
2021-01-02 02:00:00,151.133
2021-01-02 03:00:00,226.967
2021-01-02 04:00:00,389.871
2021-01-02 05:00:00,554.967
2021-01-02 06:00:00,637.544
2021-01-02 07:00:00,1036.466
2021-01-02 08:00:00,1405.775
2021-01-02 09:00:00,1425.958
2021-01-02 10:00:00,1385.036
2021-01-02 11:00:00,1650.771
2021-01-02 12:00:00,2166.749
2021-01-02 13:00:00,2817.049
2021-01-02 14:00:00,3529.066
2021-01-02 15:00:00,3748.455
2021-01-02 16:00:00,3213.632
2021-01-02 17:00:00,2217.542
2021-01-02 18:00:00,1052.654
2021-01-02 19:00:00,558.06
2021-01-02 20:00:00,541.577
2021-01-02 21:00:00,712.879
2021-01-02 22:00:00,703.094
2021-01-02 23:00:00,461.081
2021-01-03 00:00:00,249.152
2021-01-03 01:00:00,133.5
2021-01-03 02:00:00,92.531
2021-01-03 03:00:00,120.657
2021-01-03 04:00:00,210.056
2021-01-03 05:00:00,206.316
2021-01-03 06:00:00,166.526
2021-01-03 07:00:00,195.148
2021-01-03 08:00:00,302.082
2021-01-03 09:00:00,333.909
2021-01-03 10:00:00,531.243
2021-01-03 11:00:00,1145.913
2021-01-03 12:00:00,1940.636
2021-01-03 13:00:00,2749.239
2021-01-03 14:00:00,3399.66
2021-01-03 15:00:00,3956.835
2021-01-03 16:00:00,4414.148
2021-01-03 17:00:00,4136.809
2021-01-03 18:00:00,2888.541
2021-01-03 19:00:00,1520.317
2021-01-03 20:00:00,1248.992
2021-01-03 21:00:00,1367.403
2021-01-03 22:00:00,1419.072
